"X pos","Y pos","Velocity"
"4.004876562023773","1.711673270344407","3.0"
"4.298129471200612","1.77540216364372","3.0"
"4.591282380377453","1.8391310569430332","3.0"
"4.884435289554293","1.9028599502423464","3.0"
"5.177588198731134","1.9665888435416596","3.0"
"5.470741107907974","2.030317736840973","3.0"
"5.663956497190705","2.072321082337219","0.24229819048484158"
"5.701452608369311","2.1873904685218344","0.5137399184595995"
"5.654378045237145","2.413140295121401","3.0"
"5.57770374609621","2.6776282758662004","3.0"
"5.490669539352206","2.9556746105618315","3.0"
"5.419990621407411","3.176902497884243","0.8824765641407709"
"5.433038043166732","3.380325086118468","1.1500312171526479"
"5.527568424427683","3.624530268241193","3.0"
"5.650617841514203","3.883009358224893","3.0"
"5.783648921139673","4.146484315959933","3.0"
"5.920173582653776","4.411707827407944","3.0"
"6.0579209978289","4.677543332655493","3.0"
"6.1565449376637895","4.8675325758836685","3.0"
"6.221274001828711","4.9923803718378545","0.0"
